lake_community,county,month,year,type
Reported blue-green algae in previous years Lake Nearest Community County Reported Bloom type Lac en Bas Concession,Digby,November,2025,Bloom
Harrison Lake Maccan,Cumberland,October,2025,Bloom
Flat Lake (near Stillwater Lake) Upper Tantallon,Halifax,September,2025,
Sandy Lake Bedford,Halifax,September,2025,
Third Lake Fall River,Halifax,August,2025,Bloom
Lumsden Pond Black River,Kings,August,2025,
Gaspereau Lake South Alton,Kings,August,2025,
Gairloch Lake New Gairloch,Pictou,August,2025,
Lake George Lake George,Kings,August,2025,Bloom
Lake Torment East Dalhousie,Kings,August,2025,Bloom
Five Island Lake Hubley,Halifax,August,2025,Bloom
Hubley Mills Lake Upper Tantallon,Halifax,August,2025,Bloom
First Lake Lower Sackville,Halifax,August,2025,Bloom
Aylesford Lake Aylesford Lake,Kings,July,2025,Bloom
Mattatall Lake Mattatall Lake,Cumberland,July,2025,Bloom
Crooked Lake Camperdown,Lunenburg,July,2025,Bloom
Elbow lake Stillwater,Halifax,July,2025,Bloom
Fish Lake Oakfield,Halifax,July,2025,
Gavels Lake Raynardton,Yarmouth,July,2025,Bloom
Lake Vaughan Gavelton,Yarmouth,July,2025,Bloom
Lake Charlotte Eastern Shore,Halifax,July,2025,Bloom
Parr Lake Forest Glen,Yarmouth,July,2025,Bloom
"Big Hubley Lake Hubley Lake Drive, Hubley",Halifax,July,2025,Bloom
"Halfway Lake Halfway Lake Drive, Hammonds Plains",Halifax,July,2025,Bloom
French River Tatamagouche,Colchester,July,2025,Benthic
Lake Ainslie Lake Ainslie,Inverness,July,2025,Bloom
Crosskill Lake Hampton,Annapolis,July,2025,Bloom
Lochaber Lake Lochaber,Antigonish,June,2025,Bloom
Indian Harbour Lake Indian Harbour,Guysborough,June,2025,Bloom
Molega Lake (Mill Cove/Doyle Cove portion) Chelsea,Lunenburg,June,2025,Bloom
Bell Lake Dartmouth,Halifax,June,2025,Bloom
Grant Lake Mulgrave,Guysborough,June,2025,Bloom
Ponhook Lake (Canoe Cove) Greenfield,Queens,June,2025,Bloom
Shubenacadie Grand Lake at Fish Lake Oakfield,Halifax,June,2025,Benthic
Molega Lake (Beavertail Basin portion) Beavertail Basin,Queens,June,2025,Bloom
Sandy Lake Bedford,Halifax,September,2024,Bloom
Sandy Lake Hammonds Plains,Halifax,September,2024,
Soldier Lake Fall River,Halifax,September,2024,
Bissett Lake Cole Harbour,Halifax,September,2024,
McGrath Lake Brookside,Halifax,September,2024,
Long Lake Kingswood,Halifax,September,2024,
St Andrews Lake (A Lake) Fall River,Halifax,September,2024,
Beaverdam Lake Labelle,Queens,September,2024,
Lake Torment East Dalhousie,Kings,September,2024,
Governor Lake Timberlea,Halifax,September,2024,
Smelt Brook Porters Lake,Halifax,September,2024,Mat
Tucker Lake Beaverbank,Halifax,August,2024,
Hubley Mill Lake Tantallon,Halifax,August,2024,
Russell Lake Dartmouth,Halifax,August,2024,Benthic
Mat Shubenacadie Canal Shubie Park (Dartmouth),Halifax,August,2024,
Black Duck Lake East Dalhousie,Kings,August,2024,
Mack Lake East Dalhousie,Kings,August,2024,
Little Salmon River Westphal,Halifax,August,2024,Mat
Shortt's Lake Alton,Colchester,August,2024,Mat
Frederick Lake Hubley,Halifax,August,2024,
Lizard Lake Hubley,Halifax,July,2024,
"Outlet Stream Northern tip of Kearney Lake, Larry Uteck Boulevard",Halifax,July,2024,
Lake Paul Lake Paul,Kings,July,2024,
Salmon River Truro,Colchester,July,2024,
Eel Pond Musquodoboit Harbour (Smith Settlement),Halifax,July,2024,
